Title,Code,Link
BUSINESS STRATEGY ,30012,https://didattica.unibocconi.it/ts/tsn_anteprima.php?cod_ins=30012&anno=2024&ric_cdl=x&IdPag=6896
CORPORATE VALUATION ,30257,https://didattica.unibocconi.it/ts/tsn_anteprima.php?cod_ins=30257&anno=2024&ric_cdl=x&IdPag=6896
CURRENT POLITICAL PHENOMENA ,30610,https://didattica.unibocconi.it/ts/tsn_anteprima.php?cod_ins=30610&anno=2024&ric_cdl=x&IdPag=6896
DEVELOPMENT ECONOMICS ,30145,https://didattica.unibocconi.it/ts/tsn_anteprima.php?cod_ins=30145&anno=2024&ric_cdl=x&IdPag=6896
ECONOMICS OF INSTITUTIONS AND CULTURE ,30313,https://didattica.unibocconi.it/ts/tsn_anteprima.php?cod_ins=30313&anno=2024&ric_cdl=x&IdPag=6896
EMPIRICAL METHODS FOR ECONOMICS ,INTRODUCTION TO ECONOMETRICS,https://didattica.unibocconi.it/ts/tsn_anteprima.php?cod_ins=INTRODUCTION TO ECONOMETRICS&anno=2024&ric_cdl=x&IdPag=6896
EMPIRICAL METHODS FOR FINANCE ,INTRODUCTION TO ECONOMETRICS FOR FINANCE,https://didattica.unibocconi.it/ts/tsn_anteprima.php?cod_ins=INTRODUCTION TO ECONOMETRICS FOR FINANCE&anno=2024&ric_cdl=x&IdPag=6896
EUROPEAN ECONOMIC POLICY ,30056,https://didattica.unibocconi.it/ts/tsn_anteprima.php?cod_ins=30056&anno=2024&ric_cdl=x&IdPag=6896
FINANCIAL ECONOMICS ,30055,https://didattica.unibocconi.it/ts/tsn_anteprima.php?cod_ins=30055&anno=2024&ric_cdl=x&IdPag=6896
HUMAN RIGHTS ,30482,https://didattica.unibocconi.it/ts/tsn_anteprima.php?cod_ins=30482&anno=2024&ric_cdl=x&IdPag=6896
INTERNATIONAL AND MONETARY ECONOMICS ,30054,https://didattica.unibocconi.it/ts/tsn_anteprima.php?cod_ins=30054&anno=2024&ric_cdl=x&IdPag=6896
INTERNATIONAL BANKING ,30178,https://didattica.unibocconi.it/ts/tsn_anteprima.php?cod_ins=30178&anno=2024&ric_cdl=x&IdPag=6896
INTERNATIONAL MACROECONOMICS ,30443,https://didattica.unibocconi.it/ts/tsn_anteprima.php?cod_ins=30443&anno=2024&ric_cdl=x&IdPag=6896
INTRODUCTION TO OPTIONS AND FUTURES ,30150,https://didattica.unibocconi.it/ts/tsn_anteprima.php?cod_ins=30150&anno=2024&ric_cdl=x&IdPag=6896
"ISLAM, POLITICS AND THE MIDDLE EAST ",30534,https://didattica.unibocconi.it/ts/tsn_anteprima.php?cod_ins=30534&anno=2024&ric_cdl=x&IdPag=6896
MACROECONOMICS AND THE WORLD ECONOMY ,30287,https://didattica.unibocconi.it/ts/tsn_anteprima.php?cod_ins=30287&anno=2024&ric_cdl=x&IdPag=6896
MANAGEMENT OF FINANCIAL INSTITUTIONS ,30148,https://didattica.unibocconi.it/ts/tsn_anteprima.php?cod_ins=30148&anno=2024&ric_cdl=x&IdPag=6896
MANAGERIAL ACCOUNTING ,30007,https://didattica.unibocconi.it/ts/tsn_anteprima.php?cod_ins=30007&anno=2024&ric_cdl=x&IdPag=6896
MARKETING ,30015,https://didattica.unibocconi.it/ts/tsn_anteprima.php?cod_ins=30015&anno=2024&ric_cdl=x&IdPag=6896
"MARKETS, ORGANIZATIONS AND INCENTIVES ",30283,https://didattica.unibocconi.it/ts/tsn_anteprima.php?cod_ins=30283&anno=2024&ric_cdl=x&IdPag=6896
MONETARY THEORY AND POLICY ,30159,https://didattica.unibocconi.it/ts/tsn_anteprima.php?cod_ins=30159&anno=2024&ric_cdl=x&IdPag=6896
ORGANIZATION THEORY ,30153,https://didattica.unibocconi.it/ts/tsn_anteprima.php?cod_ins=30153&anno=2024&ric_cdl=x&IdPag=6896
POLITICAL REGIMES ,30487,https://didattica.unibocconi.it/ts/tsn_anteprima.php?cod_ins=30487&anno=2024&ric_cdl=x&IdPag=6896
POLITICS OF ADVANCED DEMOCRACIES ,30483,https://didattica.unibocconi.it/ts/tsn_anteprima.php?cod_ins=30483&anno=2024&ric_cdl=x&IdPag=6896
PRINCIPLES OF INTERNATIONAL FINANCE ,30151,https://didattica.unibocconi.it/ts/tsn_anteprima.php?cod_ins=30151&anno=2024&ric_cdl=x&IdPag=6896
PUBLIC FINANCE ,30264,https://didattica.unibocconi.it/ts/tsn_anteprima.php?cod_ins=30264&anno=2024&ric_cdl=x&IdPag=6896
PUBLIC MANAGEMENT ,30152,https://didattica.unibocconi.it/ts/tsn_anteprima.php?cod_ins=30152&anno=2024&ric_cdl=x&IdPag=6896
PUBLIC MANAGEMENT ,BUSINESS GOVERNMENT RELATIONS,https://didattica.unibocconi.it/ts/tsn_anteprima.php?cod_ins=BUSINESS GOVERNMENT RELATIONS&anno=2024&ric_cdl=x&IdPag=6896
TECHNOLOGY AND INNOVATION MANAGEMENT ,30154,https://didattica.unibocconi.it/ts/tsn_anteprima.php?cod_ins=30154&anno=2024&ric_cdl=x&IdPag=6896
THE ECONOMICS OF IMPERFECT LABOUR MARKETS ,30147,https://didattica.unibocconi.it/ts/tsn_anteprima.php?cod_ins=30147&anno=2024&ric_cdl=x&IdPag=6896
TOPICS IN POLITICS ,30609,https://didattica.unibocconi.it/ts/tsn_anteprima.php?cod_ins=30609&anno=2024&ric_cdl=x&IdPag=6896
AI APPLICATIONS IN ECONOMICS ,30605,https://didattica.unibocconi.it/ts/tsn_anteprima.php?cod_ins=30605&anno=2024&ric_cdl=x&IdPag=6896
ALTERNATIVE INVESTMENTS ,30187,https://didattica.unibocconi.it/ts/tsn_anteprima.php?cod_ins=30187&anno=2024&ric_cdl=x&IdPag=6896
APPLIED MACROECONOMICS AND CONTEMPORARY ECONOMIC PROBLEMS ,30651,https://didattica.unibocconi.it/ts/tsn_anteprima.php?cod_ins=30651&anno=2024&ric_cdl=x&IdPag=6896
APPLIED STOCHASTIC PROCESSES ,30515,https://didattica.unibocconi.it/ts/tsn_anteprima.php?cod_ins=30515&anno=2024&ric_cdl=x&IdPag=6896
APPLIED VALUATION ANALYSIS FOR MERGERS AND OTHER BUSINESS COMBINATIONS ,30488,https://didattica.unibocconi.it/ts/tsn_anteprima.php?cod_ins=30488&anno=2024&ric_cdl=x&IdPag=6896
ARTS AND CULTURAL MANAGEMENT ,30208,https://didattica.unibocconi.it/ts/tsn_anteprima.php?cod_ins=30208&anno=2024&ric_cdl=x&IdPag=6896
AUDITING ,30161,https://didattica.unibocconi.it/ts/tsn_anteprima.php?cod_ins=30161&anno=2024&ric_cdl=x&IdPag=6896
BEHAVIORAL AND EXPERIMENTAL FINANCE ,30608,https://didattica.unibocconi.it/ts/tsn_anteprima.php?cod_ins=30608&anno=2024&ric_cdl=x&IdPag=6896
BIG DATA FOR BUSINESS ANALYTICS ,30514,https://didattica.unibocconi.it/ts/tsn_anteprima.php?cod_ins=30514&anno=2024&ric_cdl=x&IdPag=6896
BUSINESS MANAGEMENT IN CHINA ,30574,https://didattica.unibocconi.it/ts/tsn_anteprima.php?cod_ins=30574&anno=2024&ric_cdl=x&IdPag=6896
BUSINESS PLAN ,30219,https://didattica.unibocconi.it/ts/tsn_anteprima.php?cod_ins=30219&anno=2024&ric_cdl=x&IdPag=6896
BUSINESS TAXATION AND DIGITAL ECONOMY ,30647,https://didattica.unibocconi.it/ts/tsn_anteprima.php?cod_ins=30647&anno=2024&ric_cdl=x&IdPag=6896
BUSINESS VALUATION ,30185,https://didattica.unibocconi.it/ts/tsn_anteprima.php?cod_ins=30185&anno=2024&ric_cdl=x&IdPag=6896
CLIMATE CHANGE ECONOMICS ,30387,https://didattica.unibocconi.it/ts/tsn_anteprima.php?cod_ins=30387&anno=2024&ric_cdl=x&IdPag=6896
COMPETING IN THE METAVERSE ,30652,https://didattica.unibocconi.it/ts/tsn_anteprima.php?cod_ins=30652&anno=2024&ric_cdl=x&IdPag=6896
COMPUTATIONAL APPLICATIONS IN ACCOUNTING ,30599,https://didattica.unibocconi.it/ts/tsn_anteprima.php?cod_ins=30599&anno=2024&ric_cdl=x&IdPag=6896
COMPUTATIONAL APPLICATIONS IN MANAGEMENT ,30601,https://didattica.unibocconi.it/ts/tsn_anteprima.php?cod_ins=30601&anno=2024&ric_cdl=x&IdPag=6896
COMPUTATIONAL APPLICATIONS IN MARKETING ,30603,https://didattica.unibocconi.it/ts/tsn_anteprima.php?cod_ins=30603&anno=2024&ric_cdl=x&IdPag=6896
CONSUMER INSIGHTS ,30602,https://didattica.unibocconi.it/ts/tsn_anteprima.php?cod_ins=30602&anno=2024&ric_cdl=x&IdPag=6896
CORPORATE BANKING ,30173,https://didattica.unibocconi.it/ts/tsn_anteprima.php?cod_ins=30173&anno=2024&ric_cdl=x&IdPag=6896
CORPORATE FINANCIAL MANAGEMENT AND INVESTMENT ANALYSIS ,30182,https://didattica.unibocconi.it/ts/tsn_anteprima.php?cod_ins=30182&anno=2024&ric_cdl=x&IdPag=6896
DATA-DRIVEN ANALYSIS AND DECISION-MAKING IN BUSINESS ,30587,https://didattica.unibocconi.it/ts/tsn_anteprima.php?cod_ins=30587&anno=2024&ric_cdl=x&IdPag=6896
DIGITAL STRATEGY ,30525,https://didattica.unibocconi.it/ts/tsn_anteprima.php?cod_ins=30525&anno=2024&ric_cdl=x&IdPag=6896
DIVERSITY MANAGEMENT AND POLICY ,30298,https://didattica.unibocconi.it/ts/tsn_anteprima.php?cod_ins=30298&anno=2024&ric_cdl=x&IdPag=6896
